init weight: 12388
Iter: 10, weight: 12334
Iter: 20, weight: 12241
Iter: 30, weight: 12297
Iter: 40, weight: 12472
Iter: 50, weight: 12357
Iter: 60, weight: 12396
Iter: 70, weight: 12444
Iter: 80, weight: 12579
Iter: 90, weight: 12530
Iter: 100, weight: 12361
Iter: 110, weight: 12289
Iter: 120, weight: 12296
Iter: 130, weight: 12358
Iter: 140, weight: 12356
Iter: 150, weight: 12450
Iter: 160, weight: 12291
Iter: 170, weight: 12165
Iter: 180, weight: 12100
Iter: 190, weight: 12220
Iter: 200, weight: 12116
Iter: 210, weight: 12267
Iter: 220, weight: 12266
Iter: 230, weight: 12068
Iter: 240, weight: 12293
Iter: 250, weight: 12340
Iter: 260, weight: 12130
Iter: 270, weight: 12043
Iter: 280, weight: 12225
Iter: 290, weight: 12180
Iter: 300, weight: 12124
Iter: 310, weight: 12096
Iter: 320, weight: 12037
Iter: 330, weight: 12054
Iter: 340, weight: 12071
Iter: 350, weight: 11994
Iter: 360, weight: 11850
Iter: 370, weight: 11917
Iter: 380, weight: 12048
Iter: 390, weight: 12030
Iter: 400, weight: 12001
Iter: 410, weight: 12167
Iter: 420, weight: 12097
Iter: 430, weight: 12030
Iter: 440, weight: 11937
Iter: 450, weight: 11946
Iter: 460, weight: 11995
Iter: 470, weight: 12041
Iter: 480, weight: 11938
Iter: 490, weight: 11933
Iter: 500, weight: 11903
Iter: 510, weight: 11925
Iter: 520, weight: 11953
Iter: 530, weight: 11906
Iter: 540, weight: 11764
Iter: 550, weight: 11835
Iter: 560, weight: 11858
Iter: 570, weight: 11987
Iter: 580, weight: 11877
Iter: 590, weight: 11832
Iter: 600, weight: 11879
Iter: 610, weight: 11790
Iter: 620, weight: 11999
Iter: 630, weight: 11965
Iter: 640, weight: 11915
Iter: 650, weight: 11800
Iter: 660, weight: 11751
Iter: 670, weight: 11893
Iter: 680, weight: 11694
Iter: 690, weight: 11834
Iter: 700, weight: 11586
Iter: 710, weight: 11544
Iter: 720, weight: 11617
Iter: 730, weight: 11590
Iter: 740, weight: 11563
Iter: 750, weight: 11549
Iter: 760, weight: 11563
Iter: 770, weight: 11517
Iter: 780, weight: 11475
Iter: 790, weight: 11521
Iter: 800, weight: 11578
Iter: 810, weight: 11486
Iter: 820, weight: 11497
Iter: 830, weight: 11578
Iter: 840, weight: 11597
Iter: 850, weight: 11611
Iter: 860, weight: 11553
Iter: 870, weight: 11503
Iter: 880, weight: 11562
Iter: 890, weight: 11507
Iter: 900, weight: 11455
Iter: 910, weight: 11531
Iter: 920, weight: 11473
Iter: 930, weight: 11464
Iter: 940, weight: 11477
Iter: 950, weight: 11536
Iter: 960, weight: 11604
Iter: 970, weight: 11614
Iter: 980, weight: 11594
Iter: 990, weight: 11580
Iter: 1000, weight: 11557
Iter: 1010, weight: 11557
Iter: 1020, weight: 11485
Iter: 1030, weight: 11477
Iter: 1040, weight: 11481
Iter: 1050, weight: 11478
Iter: 1060, weight: 11471
Iter: 1070, weight: 11479
Iter: 1080, weight: 11500
Iter: 1090, weight: 11476
Iter: 1100, weight: 11459
Iter: 1110, weight: 11426
Iter: 1120, weight: 11445
Iter: 1130, weight: 11393
Iter: 1140, weight: 11396
Iter: 1150, weight: 11468
Iter: 1160, weight: 11439
Iter: 1170, weight: 11511
Iter: 1180, weight: 11479
Iter: 1190, weight: 11411
Iter: 1200, weight: 11417
Iter: 1210, weight: 11345
Iter: 1220, weight: 11393
Iter: 1230, weight: 11386
Iter: 1240, weight: 11352
Iter: 1250, weight: 11391
Iter: 1260, weight: 11389
Iter: 1270, weight: 11437
Iter: 1280, weight: 11433
Iter: 1290, weight: 11426
Iter: 1300, weight: 11427
Iter: 1310, weight: 11434
Iter: 1320, weight: 11402
Iter: 1330, weight: 11373
Iter: 1340, weight: 11388
Iter: 1350, weight: 11375
Iter: 1360, weight: 11391
Iter: 1370, weight: 11334
Iter: 1380, weight: 11353
Iter: 1390, weight: 11331
Iter: 1400, weight: 11341
Iter: 1410, weight: 11360
Iter: 1420, weight: 11371
Iter: 1430, weight: 11379
Iter: 1440, weight: 11378
Iter: 1450, weight: 11374
Iter: 1460, weight: 11328
Iter: 1470, weight: 11361
Iter: 1480, weight: 11333
Iter: 1490, weight: 11316
Iter: 1500, weight: 11413
Iter: 1510, weight: 11427
Iter: 1520, weight: 11405
Iter: 1530, weight: 11373
Iter: 1540, weight: 11327
Iter: 1550, weight: 11339
Iter: 1560, weight: 11336
Iter: 1570, weight: 11340
Iter: 1580, weight: 11335
Iter: 1590, weight: 11349
Iter: 1600, weight: 11325
Iter: 1610, weight: 11354
Iter: 1620, weight: 11322
Iter: 1630, weight: 11351
Iter: 1640, weight: 11328
Iter: 1650, weight: 11346
Iter: 1660, weight: 11353
Iter: 1670, weight: 11343
Iter: 1680, weight: 11323
Iter: 1690, weight: 11340
Iter: 1700, weight: 11318
Iter: 1710, weight: 11328
Iter: 1720, weight: 11405
Iter: 1730, weight: 11379
Iter: 1740, weight: 11342
Iter: 1750, weight: 11328
Iter: 1760, weight: 11315
Iter: 1770, weight: 11348
Iter: 1780, weight: 11341
Iter: 1790, weight: 11336
Iter: 1800, weight: 11331
Iter: 1810, weight: 11318
Iter: 1820, weight: 11326
Iter: 1830, weight: 11342
Iter: 1840, weight: 11317
Iter: 1850, weight: 11372
Iter: 1860, weight: 11419
Iter: 1870, weight: 11359
Iter: 1880, weight: 11363
Iter: 1890, weight: 11343
Iter: 1900, weight: 11336
Iter: 1910, weight: 11330
Iter: 1920, weight: 11325
Iter: 1930, weight: 11329
Iter: 1940, weight: 11353
Iter: 1950, weight: 11315
Iter: 1960, weight: 11321
Iter: 1970, weight: 11332
Iter: 1980, weight: 11367
Iter: 1990, weight: 11350
Iter: 2000, weight: 11313
Iter: 2010, weight: 11316
Iter: 2020, weight: 11324
Iter: 2030, weight: 11339
Iter: 2040, weight: 11314
Iter: 2050, weight: 11334
Iter: 2060, weight: 11346
Iter: 2070, weight: 11328
Iter: 2080, weight: 11308
Iter: 2090, weight: 11339
Iter: 2100, weight: 11347
Iter: 2110, weight: 11354
Iter: 2120, weight: 11365
Iter: 2130, weight: 11337
Iter: 2140, weight: 11397
Iter: 2150, weight: 11330
Iter: 2160, weight: 11322
Iter: 2170, weight: 11318
Iter: 2180, weight: 11316
Iter: 2190, weight: 11312
Iter: 2200, weight: 11340
Iter: 2210, weight: 11326
Iter: 2220, weight: 11318
Iter: 2230, weight: 11325
Iter: 2240, weight: 11333
Iter: 2250, weight: 11341
Iter: 2260, weight: 11311
Iter: 2270, weight: 11331
Iter: 2280, weight: 11349
Iter: 2290, weight: 11321
Iter: 2300, weight: 11327
Iter: 2310, weight: 11329
Iter: 2320, weight: 11371
Iter: 2330, weight: 11311
Iter: 2340, weight: 11315
Iter: 2350, weight: 11331
Iter: 2360, weight: 11316
Iter: 2370, weight: 11323
Iter: 2380, weight: 11320
Iter: 2390, weight: 11354
Iter: 2400, weight: 11338
Iter: 2410, weight: 11332
Iter: 2420, weight: 11328
Iter: 2430, weight: 11333
Iter: 2440, weight: 11309
Iter: 2450, weight: 11321
Iter: 2460, weight: 11313
Iter: 2470, weight: 11325
Iter: 2480, weight: 11322
Iter: 2490, weight: 11326
Iter: 2500, weight: 11344
Iter: 2510, weight: 11316
Iter: 2520, weight: 11314
Iter: 2530, weight: 11314
Iter: 2540, weight: 11311
Iter: 2550, weight: 11323
Iter: 2560, weight: 11323
Iter: 2570, weight: 11310
Iter: 2580, weight: 11310
Iter: 2590, weight: 11308
Iter: 2600, weight: 11317
Iter: 2610, weight: 11322
Iter: 2620, weight: 11325
Iter: 2630, weight: 11322
Iter: 2640, weight: 11334
Iter: 2650, weight: 11347
Iter: 2660, weight: 11329
Iter: 2670, weight: 11319
Iter: 2680, weight: 11316
Iter: 2690, weight: 11314
Iter: 2700, weight: 11309
Iter: 2710, weight: 11334
Iter: 2720, weight: 11328
Iter: 2730, weight: 11323
Iter: 2740, weight: 11331
Iter: 2750, weight: 11316
Iter: 2760, weight: 11313
Iter: 2770, weight: 11326
Iter: 2780, weight: 11309
Iter: 2790, weight: 11311
Iter: 2800, weight: 11311
Iter: 2810, weight: 11330
Iter: 2820, weight: 11333
Iter: 2830, weight: 11313
Iter: 2840, weight: 11318
Iter: 2850, weight: 11336
Iter: 2860, weight: 11329
Iter: 2870, weight: 11311
Iter: 2880, weight: 11315
Iter: 2890, weight: 11330
Iter: 2900, weight: 11326
Iter: 2910, weight: 11309
Iter: 2920, weight: 11312
Iter: 2930, weight: 11310
Iter: 2940, weight: 11309
Iter: 2950, weight: 11328
Iter: 2960, weight: 11321
Iter: 2970, weight: 11323
Iter: 2980, weight: 11323
SA stopped.
Total iter:2987, the lowest weight is:11311
